threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(100, 0)",334259.3333,-43799,12330735.33,580969692,1019424.667,519248,139.761695,3.994025709,0.743752629,1360184,1828814,466761.3333,0,0,0,0,0.961371396,0,0.090917172,334259.3333,332511.7914,336006.9419,1747.54191,139.761695,137.8455733,141.6778168,1.916121727
"(100, 50)",322790.3333,-55268,12330735.33,563849043,719583,236641.6667,110.1012126,3.252513648,0.35194378,643648.6667,1828814,84864.33333,1099996.333,497055,397724.6667,99290.66667,0.954609591,0,0.088334651,321790.3333,320776.1924,322804.4743,1014.140918,110.1012126,104.4486998,115.7537254,5.65251281
"(100, 100)",321889.6667,-56168.66667,12330735.33,560965901,679662,210387.6667,105.1252258,3.128113979,0.304666243,557176.6667,1828814,54673,1216694.667,547648.3333,444375,103228,0.955040773,0,0.087896478,321889.6667,320938.043,322841.2903,951.6236268,105.1252258,103.3871371,106.8633146,1.738088745
