threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(0, 0)",342229.3333,-35829,12330735.33,1929445178,7912577.667,3868037.333,541.6422651,24.15560171,0,0,0,0,0,0,0,0,0.97236326,0,0.297224948,342229.3333,341363.0624,343095.6043,866.2709781,541.6422651,540.8567973,542.4277329,0.785467787
"(0, 100)",338685.3333,-39373,12330735.33,1554688794,5233701,3031516.333,391.8445216,16.48878971,0.893428774,650656,728115.3333,77434.66667,0,0,0,0,0.967570454,0,0.239875276,338685.3333,336594.9918,340775.6748,2090.34149,391.8445216,366.3027703,417.3862728,25.54175121
"(0, 200)",338451.6667,-39606.66667,12330735.33,851608032.3,1005577.333,475688.3333,135.4736549,3.886824706,0.740109315,1354029,1829500.333,468986,0,0,0,0,0.982873942,0,0.132432801,338451.6667,336150.9885,330752.3448,2300.678121,135.4736549,134.5598918,136.387418,0.913763125
