threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(0, 0)",332371.3333,-45687,12330735.33,204462660.3,7815964.667,4155877,542.6368615,24.19631986,0,0,0,0,0,0,0,0,0.965767971,0,0.03261293,332371.3333,331265.6232,333477.0435,1105.710131,542.6368615,541.9189631,543.3547599,0.717898387
"(10, 0)",331319,-46739.33333,12330735.33,203624951.7,7706481.667,4136809.333,537.7012297,23.93000495,0.990711568,42979,43384.66667,405.6666667,0,0,0,0,0.963913152,0,0.032487372,331319,330412.4735,332225.5265,906.5264881,537.7012297,537.266835,538.1356244,0.434394724
"(20, 0)",300242,-77816.33333,12330735.33,128361882.3,964942.3333,878454.6667,149.0343711,4.225842611,0.705051872,1265184.333,1794456.667,529033,0,0,0,0,0.934534727,0,0.021443704,300242,299639.5928,300844.4072,602.4072366,149.0343711,147.9909986,150.0777437,1.043372568
