threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(100, 0)",303653.4,-151447,10212903.8,530550591.2,533341.4,132709,86.24111948,2.656027987,0.916044459,856994.8,935538.6,78232.6,0,0,0,0,0.863882805,0,0.170009362,303653.4,302813.373,304493.427,840.0270367,86.24111948,86.03711438,86.44512457,0.204005091
"(100, 50)",287381.8,-167718.6,10212903.8,526431465.4,338875.6,90826.4,64.25186495,2.106286624,0.468760706,438544.6,935538.6,25214.8,471644.6,221854.6,210712.8,11135.2,0.885309498,0,0.16872721,310381.8,309147.3229,311616.2771,1234.477056,64.25186495,63.77539178,64.72833812,0.476473172
"(100, 100)",280912.2,-174188.2,10212903.8,526169692.8,330505.8,89790.8,63.11051745,2.077762936,0.451455239,422353.6,935538.6,23648.8,489437.8,230737.8,219064.4,11665.6,0.886643091,0,0.168645217,280912.2,279534.9779,282289.4221,1377.222116,63.11051745,62.72225662,63.49877828,0.388260833
