threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(0, 0)",342059,-35999.33333,12330735.33,1020710049,7913376.667,3969720.667,541.9239198,24.1675889,0,0,0,0,0,0,0,0,0.972252663,0,0.157832799,342059,341118.22,342999.78,940.7800455,541.9239198,541.3459551,542.5018846,0.577964792
"(10, 0)",340118,-37940.33333,12330735.33,967388611,7092314.333,3750381.333,497.039098,21.85343596,0.928569149,219163.3333,235631,16459.33333,0,0,0,0,0.969046446,0,0.149688305,340118,337980.6207,342255.3793,2137.379284,497.039098,483.1268427,510.9513533,13.91225526
"(20, 0)",334259.3333,-43799,12330735.33,580969692,1019424.667,519248,139.761695,3.994025709,0.743752629,1360184,1828814,466761.3333,0,0,0,0,0.961371396,0,0.090917172,334259.3333,332511.7914,336006.9419,1747.54191,139.761695,137.8455733,141.6778168,1.916121727
