threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(20, 0)",300242,-77816.33333,12330735.33,128361882.3,964942.3333,878454.6667,149.0343711,4.225842611,0.705051872,1265184.333,1794456.667,529033,0,0,0,0,0.934534727,0,0.021443704,300242,299639.5928,300844.4072,602.4072366,149.0343711,147.9909986,150.0777437,1.043372568
"(20, 10)",279026,-99032.33333,12330735.33,126970901.3,638752.6667,698758.6667,112.5519315,3.313781622,0.340660369,611300.3333,1794456.667,205469,977588.3333,450355.6667,306478.3333,143868,0.914002341,0,0.021257924,279026,278404.3846,279647.6154,621.6154444,112.5519315,112.3453664,112.7584966,0.206565103
"(20, 20)",278326,-99732.33333,12330735.33,126873591.3,616404,698727.3333,109.5765757,3.239397727,0.319824916,573911.6667,1794456.667,200736.3333,1019727,469398,320818.3333,148569.3333,0.913489398,0,0.021243004,278326,277960.1396,278691.8604,365.8604423,109.5765757,109.112613,110.0405385,0.463962748
