threshold,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
"(200, 0)",338451.6667,-39606.66667,12330735.33,851608032.3,1005577.333,475688.3333,135.4736549,3.886824706,0.740109315,1354029,1829500.333,468986,0,0,0,0,0.982873942,0,0.132432801,338451.6667,336150.9885,340752.3448,2300.678121,135.4736549,134.5598918,136.387418,0.913763125
"(200, 100)",338365,-39693.33333,12330735.33,794088164,716262.3333,211789,105.0408633,3.126004917,0.367694554,672695.3333,1829500.333,137041.6667,1018425,450094.6667,381932,68045,0.971003924,0,0.123651211,338365,333790.5368,342939.4632,4574.46321,105.0408633,104.503245,105.5784817,0.53761834
"(200, 200)",337049,-41009.33333,12330735.33,773141338.7,648119,113961.6667,97.28901756,2.932208772,0.267229659,488895,1829500.333,22371.66667,1317277,581308.6667,496273,84887.66667,0.969435833,0,0.120453512,337049,335812.7976,338285.2024,1236.202373,97.28901756,95.48422735,99.09380777,1.80479021
