average_provision,average_provision_min,average_provision_max,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_delay_min,average_delay_max,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage
326206.3333,326141.09,326271.57,-128687.6667,10212384,671640820.3,726379.3333,726379.3333,610.2631508,591.955,628.571,28.88951098,0,0,0,0,0,0,0,0,0.889893872,0,0.586851186
325975.3333,325910.14,326040.53,-128918.6667,10212384,669661315,723348.6667,723348.6667,604.4516188,586.318,622.585,28.59526163,0.998819433,14596.66667,14613.66667,17,0,0,0,0,0.88952783,0,0.587353165
325032.6667,324967.66,325097.67,-129861.3333,10212384,661328259.7,706326,706326,588.6899848,571.029,606.351,27.79194804,0.99655266,55720.66667,55964.33333,243.6666667,0,0,0,0,0.888008816,0,0.596151698
323315,323250.34,323379.66,-131579,10212384,648479707.7,665773.3333,665773.3333,560.246881,543.439,577.054,26.34164836,0.98477205,126744.3333,128837.6667,2093.333333,0,0,0,0,0.884555543,0,0.587161568
319758.3333,319694.38,319822.28,-135135.6667,10212384,626873894,587525.3333,587525.3333,509.0919005,493.819,524.365,23.73475001,0.972591929,262223,269647.3333,7420.333333,0,0,0,0,0.877395849,0,0.58618916
316294,316230.74,316357.26,-138600,10212384,605420705,541517.3333,541517.3333,477.5360912,463.21,491.862,22.1044242,0.976587504,357043.3333,365646.6667,8598.666667,0,0,0,0,0.873012341,0,0.583116568
312167.6667,312105.23,312230.1,-142726.3333,10212384,593590983,485359.3333,485359.3333,438.287651,425.139,451.436,20.08347515,0.974528771,450672,462539,11694.33333,0,0,0,0,0.867983841,0,0.58367878
307810.3333,307748.77,307871.9,-147083.6667,10212384,541213784,276592.3333,276592.3333,337.0658987,326.954,347.178,14.93424858,0.969861918,629109.3333,648684.3333,19425.33333,0,0,0,0,0.86373167,0,0.58332318
293741.6667,293682.92,293800.42,-161152.3333,10212384,532834857,132871.6667,132871.6667,86.24708559,83.66,88.834,2.65617714,0.916322018,857262.3333,935547,78020.66667,0,0,0,0,0.855817604,0,0.58328558
