src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,4967,4616,351,0.929333602,5911,1.19077357,6627900,1335.193392
0,2,1,4974,4624,350,0.929634097,6011,1.208970233,8526500,1714.903459
0,3,2,5007,4644,363,0.927501498,9654,1.933894231,14861000,2976.963141
0,4,3,4940,4572,368,0.925506073,11367,2.310365854,18940800,3849.756098
0,5,2,5028,4648,380,0.92442323,9189,1.839271417,20184000,4040.032026
0,6,2,4986,4586,400,0.919775371,9472,1.919740576,18967700,3844.284556
0,7,1,4958,4533,425,0.914279952,7609,1.558901864,16418500,3363.757427
0,8,2,4985,4526,459,0.907923771,10411,2.136027903,22107200,4535.740665
0,9,3,5016,4479,537,0.892942584,12416,2.572198053,24563900,5088.854361
0,10,3,4951,4378,573,0.884265805,12874,2.72407956,25038700,5298.074482
0,11,3,4955,4282,673,0.864177598,14215,3.070194384,25342000,5473.434125
0,12,4,5018,4255,763,0.847947389,14370,3.121877037,25876500,5621.659787
0,13,3,4965,4095,870,0.824773414,14558,3.2766149,24813700,5584.897592
1,2,1,4990,4613,377,0.924448898,5207,1.049586777,3507600,707.034872
1,3,1,5018,4296,722,0.856117975,6748,1.453057709,8372300,1802.820844
1,4,2,4990,4146,844,0.830861723,8325,1.85246996,12119100,2696.728972
1,5,2,4957,4047,910,0.816421223,8011,1.822753129,14307900,3255.494881
1,6,3,4993,3937,1056,0.788503905,9908,2.312252042,16090800,3755.145858
1,7,4,4926,3808,1118,0.773041007,8269,1.989653513,16121500,3879.090472
1,8,5,4977,3699,1278,0.743218807,12296,3.038299975,20128500,4973.684211
1,9,3,4957,3484,1473,0.702844462,10847,2.830636743,18135300,4732.593946
1,10,2,4966,3283,1683,0.661095449,11127,3.064445056,18529100,5103.029468
1,11,3,4997,3182,1815,0.636782069,11584,3.281586402,18713000,5301.133144
1,12,4,5029,3015,2014,0.599522768,11537,3.430567945,18278000,5435.028249
1,13,3,5009,2820,2189,0.562986624,11274,3.558712121,17612200,5559.406566
2,3,2,5079,3058,2021,0.602087025,6483,1.903405755,10174700,2987.28714
2,4,3,4928,2653,2275,0.538352273,6431,2.142952349,10957500,3651.282906
2,5,1,4929,2443,2486,0.49563806,5640,2.020781082,10447100,3743.13866
2,6,4,4995,2334,2661,0.467267267,6543,2.439597315,11896300,4435.607755
2,7,5,4974,2288,2686,0.459991958,5563,2.110394537,11572100,4390.022762
2,8,3,5000,1894,3106,0.3788,6989,3.117305977,12031400,5366.369313
2,9,2,4982,1689,3293,0.339020474,5901,2.896907216,10596400,5201.963672
2,10,3,4988,1470,3518,0.294707298,6363,3.5,10819300,5951.210121
2,11,3,5016,1238,3778,0.246810207,5525,3.483606557,9364000,5904.161412
2,12,2,5002,1114,3888,0.222710916,5441,3.721614227,8917600,6099.589603
2,13,3,4937,877,4060,0.177638242,4665,3.808163265,7558600,6170.285714
3,4,1,5070,4212,858,0.830769231,6254,1.371491228,6189800,1357.412281
3,5,2,5064,3869,1195,0.764020537,8753,2.075646194,13542700,3211.45364
3,6,2,4899,3645,1254,0.744029394,7359,1.842975207,9418900,2358.852993
3,7,3,4973,3248,1725,0.653126885,9223,2.564794216,11909000,3311.735261
