src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,5127,4874,253,0.950653404,5695,1.111436378,6276100,1224.843872
0,2,1,4976,4726,250,0.949758842,5534,1.112138264,8110000,1629.823151
0,3,2,4926,4668,258,0.947624848,12200,2.480683205,13798400,2805.693371
0,4,3,5040,4779,261,0.948214286,15649,3.111751839,19859100,3948.916286
0,5,2,4930,4659,271,0.945030426,12703,2.587696068,19543500,3981.157058
0,6,2,4973,4668,305,0.938668812,13401,2.724888166,19203700,3904.778365
0,7,1,5013,4696,317,0.936764413,9296,1.879498585,16915000,3419.935301
0,8,2,5021,4673,348,0.930691097,15893,3.228316067,22655200,4601.909405
0,9,3,5042,4632,410,0.918683062,16897,3.461081524,24180100,4952.908644
0,10,3,5111,4677,434,0.915085111,19059,3.868276842,25536500,5182.971382
0,11,3,5033,4548,485,0.903636002,18696,3.896623593,24950000,5200.083368
0,12,4,5115,4533,582,0.886217009,18958,3.963621158,26154900,5468.304411
0,13,3,4992,4383,609,0.878004808,18544,4.002590114,24205100,5224.498165
1,2,1,4990,4733,257,0.948496994,5127,1.028898254,3246000,651.4148104
1,3,1,4980,4370,610,0.87751004,7926,1.715584416,8701800,1883.506494
1,4,2,4988,4276,712,0.857257418,12370,2.733097658,13162000,2908.086611
1,5,2,5009,4207,802,0.839888201,11649,2.613641463,14319700,3212.856181
1,6,3,5052,4145,907,0.820467142,14930,3.397042093,17897500,4072.241183
1,7,4,4989,4039,950,0.809581078,12372,2.884588482,18032100,4204.266729
1,8,5,4967,3844,1123,0.773907791,16553,4.043234001,20166500,4925.867123
1,9,3,4950,3704,1246,0.748282828,14540,3.677288821,17586600,4447.799697
1,10,2,5015,3575,1440,0.712861416,13206,3.45254902,17432000,4557.385621
1,11,3,5067,3482,1585,0.687191632,15102,4.046623794,18698800,5010.39657
1,12,4,4889,3167,1722,0.647780732,14050,4.111793971,17360100,5080.509219
1,13,3,5038,3051,1987,0.605597459,13624,4.127234171,16692100,5056.679794
2,3,2,4946,3126,1820,0.632025879,9305,2.756220379,9829900,2911.700237
2,4,3,4964,2879,2085,0.579975826,9385,2.999360818,11627000,3715.883669
2,5,1,4970,2681,2289,0.53943662,7578,2.585465711,10445900,3563.937223
2,6,4,4969,2516,2453,0.506339304,9599,3.470354302,13031100,4711.171367
2,7,5,4989,2518,2471,0.504710363,7842,2.833092486,12477200,4507.65896
2,8,3,5032,2130,2902,0.423290938,9356,3.931092437,12034400,5056.470588
2,9,2,4994,1877,3117,0.375851021,7702,3.621062529,9779400,4597.7433
2,10,3,4912,1772,3140,0.360749186,8534,4.220573689,10444600,5165.479723
2,11,3,4987,1629,3358,0.326649288,7973,4.243214476,9870700,5253.166578
2,12,2,5002,1468,3534,0.293482607,7535,4.385913853,9221700,5367.694994
2,13,3,5020,1303,3717,0.259561753,7008,4.512556343,8520200,5486.28461
3,4,1,4975,4324,651,0.869145729,6317,1.3810669,5065300,1107.411456
3,5,2,4975,4083,892,0.820703518,12300,2.838679898,13204700,3047.472883
3,6,2,4950,3897,1053,0.787272727,10796,2.603327707,9197800,2217.94068
3,7,3,5000,3576,1424,0.7152,13431,3.510454783,12578300,3287.584945
3,8,4,5073,3760,1313,0.74117879,13231,3.299501247,14989900,3738.129676
3,9,3,5053,3495,1558,0.691668316,13923,3.717757009,14926900,3985.821095
3,10,1,5056,3415,1641,0.675435127,8395,2.29058663,11468200,3129.113233
3,11,2,4981,3173,1808,0.637020679,10187,2.976044405,12157900,3551.825884
3,12,3,4984,2935,2049,0.58888443,11206,3.518367347,11921400,3742.982732
3,13,2,5062,2788,2274,0.550770446,9761,3.212969059,11032900,3631.632653
4,5,1,4969,3937,1032,0.792312336,6978,1.666587055,7193000,1717.93647
4,6,1,4999,4294,705,0.858971794,5417,1.192121479,4507700,992.0114437
4,7,2,5022,3749,1273,0.746515333,9404,2.351587897,7773100,1943.76094
4,8,3,4994,3519,1475,0.704645575,12536,3.326081189,11891700,3155.133988
4,9,2,4929,3295,1634,0.668492595,9764,2.754301834,10181700,2872.12976
4,10,2,5087,3112,1975,0.611755455,12510,3.720999405,12652000,3763.236169
4,11,4,4918,2746,2172,0.558357056,10451,3.488317757,10142900,3385.480641
4,12,5,5063,2602,2461,0.513924551,9866,3.459326788,9726800,3410.518934
4,13,4,4987,2395,2592,0.480248646,9555,3.612476371,9128600,3451.266541
5,6,2,5027,2581,2446,0.513427492,8723,3.081243377,8371200,2956.976333
5,7,3,5041,2562,2479,0.508232494,9367,3.331081081,9219300,3278.556188
5,8,2,5058,3976,1082,0.786081455,10157,2.403454804,10149300,2401.63275
5,9,1,5007,4174,833,0.833632914,5387,1.217676311,6120900,1383.566908
5,10,3,5043,3658,1385,0.725361888,13002,3.327021494,12766000,3266.632549
5,11,2,5037,3485,1552,0.691880087,9179,2.457563588,9488800,2540.508701
5,12,1,5101,3340,1761,0.654773574,7577,2.110584958,8779300,2445.487465
5,13,2,4923,3059,1864,0.621369084,8739,2.640979148,8668200,2619.582956
6,7,1,4927,3447,1480,0.69961437,4292,1.160941304,3287200,889.1533676
6,8,2,4995,1773,3222,0.354954955,5462,2.699950568,4652400,2299.752842
6,9,3,5020,1511,3509,0.300996016,6036,3.427597956,5776000,3279.954571
6,10,4,4987,1292,3695,0.259073591,6109,3.961738003,5341900,3464.267185
6,11,3,5048,1165,3883,0.230784469,5136,3.629681979,4406400,3114.063604
6,12,4,4901,859,4042,0.175270353,4675,4.215509468,3779900,3408.385933
6,13,3,4968,708,4260,0.142512077,3577,3.733820459,3129300,3266.492693
7,8,1,4997,1498,3499,0.299779868,2939,1.681350114,2675700,1530.720824
7,9,2,4923,1127,3796,0.228925452,3832,2.782861293,3809800,2766.739288
7,10,3,4915,1012,3903,0.205900305,4283,3.393819334,3470500,2750
7,11,2,4923,878,4045,0.178346537,3172,2.812056738,2619200,2321.985816
7,12,3,4949,739,4210,0.149323096,3548,3.587462083,2674000,2703.741153
7,13,2,4943,582,4361,0.117742262,2424,2.913461538,2054000,2468.75
8,9,1,4889,3470,1419,0.709756596,4276,1.149462366,3934400,1057.634409
8,10,2,4990,4575,415,0.916833667,9731,2.016787565,6333800,1312.704663
8,11,1,5083,4724,359,0.929372418,5313,1.068154403,2656700,534.1174105
8,12,2,4954,4587,367,0.92591845,9708,2.00702915,3938600,814.2650403
8,13,1,4979,4586,393,0.921068488,5174,1.069892473,2629600,543.7551696
9,10,3,5111,3243,1868,0.634513794,10976,3.142284569,8657100,2478.413971
9,11,2,4896,2943,1953,0.601102941,7118,2.229251488,5667800,1775.070467
9,12,3,4975,2832,2143,0.569246231,8474,2.749513303,6789800,2203.049968
9,13,2,5023,2665,2358,0.530559427,6494,2.227787307,5141000,1763.636364
10,11,1,4978,4604,374,0.924869425,5188,1.06880923,4001400,824.3510507
10,12,2,4987,4595,392,0.921395629,9713,2.004747162,5352400,1104.726522
10,13,1,5015,4582,433,0.913659023,5156,1.06705298,3976600,822.9718543
11,12,1,4951,4695,256,0.948293274,4964,1.003842265,1497000,302.7300303
11,13,2,5007,4749,258,0.948472139,9998,2,3629200,725.985197
12,13,1,4996,4729,267,0.946557246,5131,1.030528219,1598700,321.088572
