src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,5055.0,5055.0,0.0,1.0,55653.0,11.009495548961425,5565300.0,1100.9495548961424
0,2,4994.0,4994.0,0.0,1.0,79905.0,16.000200240288347,7990500.0,1600.0200240288345
0,3,5000.0,4994.0,6.0,0.9988,134393.0,26.910893071686022,13439300.0,2691.0893071686023
0,4,4926.0,4912.0,14.0,0.9971579374746244,163224.0,33.229641693811075,16322400.0,3322.9641693811077
0,5,5143.0,5120.0,23.0,0.9955279020027221,194250.0,37.939453125,19425000.0,3793.9453125
0,6,4987.0,4940.0,47.0,0.9905754962903549,187133.0,37.88117408906883,18713300.0,3788.1174089068827
0,7,4977.0,4922.0,55.0,0.988949166164356,161746.0,32.861844778545304,16174600.0,3286.1844778545305
0,8,4973.0,4892.0,81.0,0.9837120450432335,211558.0,43.24570727718724,21155800.0,4324.570727718725
0,9,4957.0,4835.0,122.0,0.9753883397216058,232906.0,48.170837642192346,23290600.0,4817.083764219235
0,10,5066.0,4926.0,140.0,0.9723647848401106,244227.0,49.57917174177832,24422700.0,4957.917174177832
0,11,5038.0,4812.0,226.0,0.9551409289400555,230834.0,47.97049044056526,23083400.0,4797.049044056525
0,12,5110.0,4852.0,258.0,0.9495107632093933,247828.0,51.07749381698269,24782800.0,5107.749381698269
0,13,5027.0,4718.0,309.0,0.9385319275910086,238438.0,50.53793980500212,23843800.0,5053.793980500212
1,2,5060.0,5060.0,0.0,1.0,30360.0,6.0,3036000.0,600.0
1,3,4937.0,4577.0,360.0,0.9270812234150294,105610.0,23.074065982084335,10561000.0,2307.4065982084335
1,4,5002.0,4549.0,453.0,0.9094362255097961,134010.0,29.45922180699055,13401000.0,2945.922180699055
1,5,5041.0,4495.0,546.0,0.8916881571116841,141948.0,31.57908787541713,14194800.0,3157.908787541713
1,6,4993.0,4362.0,631.0,0.8736230723012217,167747.0,38.45644199908299,16774700.0,3845.644199908299
1,7,5037.0,4379.0,658.0,0.8693666865197538,176663.0,40.34322904772779,17666300.0,4034.322904772779
1,8,4972.0,4077.0,895.0,0.8199919549477072,195698.0,48.00049055678195,19569800.0,4800.049055678195
1,9,4991.0,4018.0,973.0,0.8050490883590463,174476.0,43.423593827775015,17447600.0,4342.359382777501
1,10,4933.0,3828.0,1105.0,0.7759983782688019,186045.0,48.60109717868338,18604500.0,4860.1097178683385
1,11,4981.0,3701.0,1280.0,0.7430234892591849,183953.0,49.70359362334504,18395300.0,4970.359362334504
1,12,5007.0,3581.0,1426.0,0.7151987217894947,180910.0,50.51940798659592,18091000.0,5051.9407986595925
1,13,5083.0,3461.0,1622.0,0.6808971080070825,176665.0,51.0444958104594,17666500.0,5104.44958104594
2,3,5012.0,3398.0,1614.0,0.6779728651237031,117859.0,34.68481459682166,11785900.0,3468.481459682166
2,4,5021.0,3157.0,1864.0,0.6287592113124876,124174.0,39.33291099144758,12417400.0,3933.2910991447575
2,5,4923.0,2925.0,1998.0,0.5941499085923218,102955.0,35.1982905982906,10295500.0,3519.82905982906
2,6,5048.0,2940.0,2108.0,0.5824088748019017,133575.0,45.433673469387756,13357500.0,4543.367346938776
2,7,4978.0,2809.0,2169.0,0.5642828445158699,125402.0,44.64293342826629,12540200.0,4464.293342826629
2,8,4979.0,2436.0,2543.0,0.48925487045591487,121080.0,49.70443349753695,12108000.0,4970.443349753695
2,9,5023.0,2274.0,2749.0,0.45271749950228946,109152.0,48.0,10915200.0,4800.0
2,10,4924.0,2043.0,2881.0,0.414906580016247,111672.0,54.66079295154185,11167200.0,5466.079295154185
2,11,5030.0,1948.0,3082.0,0.3872763419483101,103589.0,53.177104722792606,10358900.0,5317.710472279261
2,12,5000.0,1777.0,3223.0,0.3554,96674.0,54.402926280247605,9667400.0,5440.292628024761
2,13,5029.0,1541.0,3488.0,0.30642274806124475,85300.0,55.35366645035691,8530000.0,5535.366645035691
3,4,5012.0,4583.0,429.0,0.9144054269752594,69728.0,15.21448832642374,6972800.0,1521.448832642374
3,5,5036.0,4367.0,669.0,0.8671564733915806,140710.0,32.22120448820701,14071000.0,3222.120448820701
3,6,4952.0,4008.0,944.0,0.8093699515347335,113269.0,28.260728542914173,11326900.0,2826.072854291417
3,7,4978.0,3684.0,1294.0,0.7400562474889514,127033.0,34.48235613463626,12703300.0,3448.2356134636266
3,8,5068.0,4046.0,1022.0,0.7983425414364641,148096.0,36.60306475531389,14809600.0,3660.306475531389
3,9,5047.0,3785.0,1262.0,0.7499504656231425,148370.0,39.199471598414796,14837000.0,3919.9471598414793
3,10,5054.0,3630.0,1424.0,0.7182429758607044,104344.0,28.744903581267216,10434400.0,2874.4903581267217
3,11,5038.0,3397.0,1641.0,0.6742755061532354,118622.0,34.919634972034146,11862200.0,3491.9634972034146
3,12,4996.0,3200.0,1796.0,0.6405124099279423,118510.0,37.034375,11851000.0,3703.4375
3,13,5015.0,2982.0,2033.0,0.594616151545364,104836.0,35.15627095908786,10483600.0,3515.627095908786
4,5,5002.0,4229.0,773.0,0.8454618152738904,71748.0,16.96571293449988,7174800.0,1696.5712934499882
4,6,5025.0,4377.0,648.0,0.871044776119403,56053.0,12.80625999543066,5605300.0,1280.625999543066
4,7,4962.0,3771.0,1191.0,0.7599758162031439,82115.0,21.77539114293291,8211500.0,2177.539114293291
4,8,5036.0,3744.0,1292.0,0.7434471803018269,115595.0,30.874732905982906,11559500.0,3087.4732905982905
4,9,4951.0,3547.0,1404.0,0.7164209250656433,103845.0,29.27685367916549,10384500.0,2927.6853679165492
4,10,5049.0,3279.0,1770.0,0.649435531788473,122405.0,37.32997865202806,12240500.0,3732.9978652028058
4,11,5055.0,3169.0,1886.0,0.6269040553907023,106401.0,33.57557589144841,10640100.0,3357.5575891448407
4,12,5006.0,2858.0,2148.0,0.5709149021174591,97408.0,34.08257522743177,9740800.0,3408.257522743177
4,13,5005.0,2647.0,2358.0,0.5288711288711289,90821.0,34.31091802040045,9082100.0,3431.0918020400454
5,6,4873.0,2685.0,2188.0,0.5509952801149189,83936.0,31.261080074487896,8393600.0,3126.1080074487895
5,7,5014.0,2720.0,2294.0,0.5424810530514559,91196.0,33.52794117647059,9119600.0,3352.794117647059
5,8,5141.0,4407.0,734.0,0.8572262205796538,102302.0,23.213523939187656,10230200.0,2321.3523939187658
5,9,4950.0,4552.0,398.0,0.9195959595959596,65480.0,14.38488576449912,6548000.0,1438.4885764499122
5,10,4972.0,4087.0,885.0,0.8220032180209171,130569.0,31.947394176657696,13056900.0,3194.7394176657695
5,11,5045.0,4031.0,1014.0,0.7990089197224975,99032.0,24.56760109154056,9903200.0,2456.760109154056
5,12,5047.0,3911.0,1136.0,0.7749157915593422,91458.0,23.384812068524674,9145800.0,2338.4812068524675
5,13,4938.0,3632.0,1306.0,0.7355204536249493,91569.0,25.211729074889867,9156900.0,2521.1729074889868
6,7,5020.0,3974.0,1046.0,0.7916334661354582,36389.0,9.156768998490186,3638900.0,915.6768998490186
6,8,4957.0,1955.0,3002.0,0.39439176921525115,53623.0,27.42864450127877,5362300.0,2742.8644501278773
6,9,5070.0,1746.0,3324.0,0.34437869822485206,64414.0,36.89232531500573,6441400.0,3689.232531500573
6,10,5065.0,1509.0,3556.0,0.2979269496544916,55269.0,36.62624254473161,5526900.0,3662.624254473161
6,11,5017.0,1255.0,3762.0,0.2501494917281244,43401.0,34.582470119521915,4340100.0,3458.2470119521913
6,12,4998.0,1029.0,3969.0,0.20588235294117646,37313.0,36.26141885325559,3731300.0,3626.1418853255586
6,13,5020.0,866.0,4154.0,0.17250996015936254,31269.0,36.107390300230946,3126900.0,3610.7390300230945
7,8,4962.0,1438.0,3524.0,0.2898024989923418,28437.0,19.77538247566064,2843700.0,1977.538247566064
7,9,4962.0,1060.0,3902.0,0.21362353889560662,35794.0,33.76792452830189,3579400.0,3376.7924528301887
7,10,5028.0,1007.0,4021.0,0.20027844073190135,31223.0,31.005958291956304,3122300.0,3100.595829195631
7,11,5032.0,829.0,4203.0,0.1647456279809221,21234.0,25.613992762364294,2123400.0,2561.3992762364296
7,12,5004.0,691.0,4313.0,0.13808952837729815,18698.0,27.059334298118667,1869800.0,2705.933429811867
7,13,4988.0,555.0,4433.0,0.11126704089815558,13784.0,24.836036036036035,1378400.0,2483.6036036036035
8,9,5052.0,3895.0,1157.0,0.7709817893903405,50700.0,13.016688061617458,5070000.0,1301.6688061617458
8,10,5079.0,5078.0,1.0,0.9998031108485922,66014.0,13.0,6601400.0,1300.0
