src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,4961.0,4959.0,2.0,0.999596855472687,54549.0,11.0,5454900.0,1100.0
0,2,5001.0,4999.0,2.0,0.9996000799840032,79984.0,16.0,7998400.0,1600.0
0,3,5014.0,5003.0,11.0,0.9978061428001596,133362.0,26.656406156306215,13336200.0,2665.6406156306216
0,4,5037.0,5024.0,13.0,0.9974190986698431,167081.0,33.25656847133758,16708100.0,3325.6568471337578
0,5,5031.0,5014.0,17.0,0.9966209501093222,191084.0,38.11009174311926,19108400.0,3811.0091743119265
0,6,4909.0,4869.0,40.0,0.9918517009574251,184541.0,37.90121174779215,18454100.0,3790.1211747792154
0,7,4974.0,4916.0,58.0,0.9883393646964214,161136.0,32.77786818551668,16113600.0,3277.786818551668
0,8,4879.0,4805.0,74.0,0.9848329575732732,208864.0,43.46805411030177,20886400.0,4346.805411030177
0,9,5036.0,4943.0,93.0,0.9815329626687848,238231.0,48.195630184098725,23823100.0,4819.563018409873
0,10,5019.0,4889.0,130.0,0.9740984259812712,242021.0,49.503170382491305,24202100.0,4950.317038249131
0,11,4988.0,4816.0,172.0,0.9655172413793104,231881.0,48.14804817275748,23188100.0,4814.804817275747
0,12,4985.0,4749.0,236.0,0.9526579739217653,242333.0,51.02821646662455,24233300.0,5102.821646662455
0,13,4972.0,4669.0,303.0,0.9390587288817377,235691.0,50.479974298565004,23569100.0,5047.9974298565
1,2,5046.0,5046.0,0.0,1.0,30297.0,6.004161712247325,3029700.0,600.4161712247325
1,3,5024.0,4662.0,362.0,0.9279458598726115,106852.0,22.91977691977692,10685200.0,2291.977691977692
1,4,4992.0,4556.0,436.0,0.9126602564102564,134875.0,29.603819139596137,13487500.0,2960.3819139596135
1,5,5046.0,4519.0,527.0,0.8955608402695204,143398.0,31.732241646381944,14339800.0,3173.2241646381945
1,6,5054.0,4441.0,613.0,0.8787099327265532,170421.0,38.37446521053817,17042100.0,3837.446521053817
1,7,5091.0,4430.0,661.0,0.8701630328029857,178477.0,40.288261851015804,17847700.0,4028.82618510158
1,8,5041.0,4199.0,842.0,0.8329696488791907,202482.0,48.221481305072636,20248200.0,4822.148130507264
1,9,4989.0,3983.0,1006.0,0.7983563840448987,174398.0,43.78558875219684,17439800.0,4378.558875219684
1,10,5018.0,3866.0,1152.0,0.7704264647269828,188329.0,48.71417485773409,18832900.0,4871.417485773409
