src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,5055,4690,365,0.927794263,6163,1.219188922,6957800,1376.419387
0,2,1,4994,4626,368,0.926311574,6203,1.242837107,8643200,1731.757163
0,3,2,5000,4626,374,0.9252,9625,1.928471248,14820700,2969.485073
0,4,3,4926,4530,396,0.919610231,11304,2.309295199,18897600,3860.592441
0,5,2,5143,4737,406,0.921057748,9580,1.877695022,20698400,4056.918855
0,6,2,4987,4549,438,0.912171646,9546,1.942612943,18944100,3855.128205
0,7,1,4977,4532,445,0.910588708,7589,1.549724321,16303800,3329.344497
0,8,2,4973,4474,499,0.899658154,10407,2.150650961,21828300,4510.911345
0,9,3,4957,4397,560,0.887028445,12594,2.644687106,24426100,5129.378412
0,10,3,5066,4447,619,0.87781287,13056,2.713216958,25300000,5257.689111
0,11,3,5038,4303,735,0.854108773,14587,3.124892888,25596100,5483.311911
0,12,4,5110,4280,830,0.837573386,14537,3.129601722,26048700,5607.900969
0,13,3,5027,4100,927,0.815595783,14676,3.286898096,24925000,5582.306831
1,2,1,5060,4661,399,0.921146245,5425,1.079387187,3898100,775.5869479
1,3,1,4937,4188,749,0.848288434,6583,1.445859873,8188700,1798.528443
1,4,2,5002,4143,859,0.828268693,8407,1.864906832,12230200,2712.999113
1,5,2,5041,4056,985,0.804602261,8223,1.859986428,14440200,3266.274599
1,6,3,4993,3880,1113,0.777087923,9872,2.325559482,15814500,3725.441696
1,7,4,5037,3881,1156,0.770498312,8566,2.017428168,16595800,3908.572774
1,8,5,4972,3577,1395,0.719428801,11965,3.035261289,19546100,4958.422121
1,9,3,4991,3464,1527,0.694049289,11090,2.896317576,18371200,4797.910682
1,10,2,4933,3218,1715,0.652341374,10667,2.97711415,18005400,5025.230254
1,11,3,4981,3065,1916,0.615338285,11304,3.295626822,18235100,5316.355685
1,12,4,5007,2903,2104,0.579788296,11185,3.422582619,17725600,5423.990208
1,13,3,5083,2762,2321,0.543379894,11017,3.523185161,17240800,5513.527343
2,3,2,5012,3008,2004,0.600159617,6452,1.912837237,10232000,3033.501334
2,4,3,5021,2702,2319,0.538139813,6378,2.07955657,10894900,3552.298663
2,5,1,4923,2524,2399,0.512695511,5652,1.956386293,10443100,3614.780201
2,6,4,5048,2402,2646,0.475832013,6813,2.462233466,12240700,4423.816408
2,7,5,4978,2206,2772,0.443149859,5527,2.14974718,11313000,4400.233372
2,8,3,4979,1833,3146,0.368146214,6774,3.08189263,11624300,5288.580528
2,9,2,5023,1666,3357,0.331674298,5929,2.9192516,10503000,5171.344165
2,10,3,4924,1366,3558,0.277416734,6035,3.486424032,10271600,5933.911034
2,11,3,5030,1224,3806,0.24333996,5507,3.465701699,9268000,5832.599119
2,12,2,5000,1052,3948,0.2104,5123,3.615384615,8419700,5941.919548
2,13,3,5029,809,4220,0.160866972,4277,3.643100511,7115100,6060.562181
3,4,1,5012,4113,899,0.820630487,6160,1.375614113,6044300,1349.776686
3,5,2,5036,3854,1182,0.765289913,8531,2.022043138,13076600,3099.454847
3,6,2,4952,3597,1355,0.726373183,7452,1.880868248,9587400,2419.838465
3,7,3,4978,3215,1763,0.645841703,9268,2.588826816,12031200,3360.670391
3,8,4,5068,3450,1618,0.68074191,9786,2.565137615,14534700,3809.882045
