src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,5024,4761,263,0.947651274,5562,1.107526882,6126200,1219.872561
0,2,1,4929,4668,261,0.947048083,5454,1.106512477,8012500,1625.583283
0,3,2,5028,4756,272,0.945902944,12480,2.487542356,14122100,2814.849512
0,4,3,5064,4783,281,0.944510269,15699,3.112410785,19843700,3934.119746
0,5,2,5036,4743,293,0.941818904,12905,2.578936851,19869300,3970.683453
0,6,2,5024,4717,307,0.938893312,13220,2.655685014,19163600,3849.658497
0,7,1,5064,4729,335,0.933846761,9394,1.88256513,17096200,3426.092184
0,8,2,4946,4611,335,0.9322685,15719,3.226395731,22409700,4599.692118
0,9,3,4897,4507,390,0.920359404,16746,3.51216443,23777800,4986.954698
0,10,3,4951,4545,406,0.917996364,18430,3.834789846,24803600,5160.96546
0,11,3,4955,4483,472,0.904742684,18403,3.879215852,24476700,5159.506745
0,12,4,5030,4477,553,0.890059642,18776,3.962853525,25829000,5451.456311
0,13,3,4979,4353,626,0.874271942,18502,4.009969658,24194600,5243.736454
1,2,1,5016,4745,271,0.945972887,5345,1.067718738,3674100,733.9392729
1,3,1,5027,4409,618,0.877063855,8055,1.7248394,8891300,1903.91863
1,4,2,4971,4293,678,0.863608932,12293,2.699385156,13015100,2857.949056
1,5,2,5069,4253,816,0.839021503,12063,2.672352681,14996700,3322.264067
1,6,3,4896,3974,922,0.811683007,14341,3.386304604,17227600,4067.910272
1,7,4,5014,4073,941,0.812325489,12306,2.839409322,18151600,4188.186433
1,8,5,4994,3820,1174,0.764917901,16455,4.032099975,20170800,4942.612105
1,9,3,5091,3769,1322,0.740326066,15146,3.758312655,18434000,4574.193548
1,10,2,4939,3515,1424,0.711682527,13143,3.480667373,17307300,4583.501059
1,11,3,5066,3431,1635,0.677260166,14977,4.056608884,18551100,5024.674973
1,12,4,5005,3209,1796,0.641158841,14095,4.061959654,17676500,5094.092219
1,13,3,4947,2985,1962,0.603395998,13555,4.175908811,16652700,5130.221811
2,3,2,4955,3129,1826,0.63148335,9711,2.86460177,10531100,3106.519174
2,4,3,5044,2893,2151,0.573552736,9647,3.058655675,12286100,3895.402663
2,5,1,5052,2755,2297,0.545328583,7493,2.484416446,10576700,3506.863395
2,6,4,4950,2554,2396,0.515959596,9805,3.48312611,13430300,4770.976909
2,7,5,4995,2503,2492,0.501101101,7784,2.816208394,12455400,4506.295224
2,8,3,5030,2185,2845,0.434393638,9737,3.980784955,12458100,5093.254293
2,9,2,4983,1945,3038,0.390327112,7996,3.624660018,10204400,4625.74796
2,10,3,5088,1767,3321,0.347287736,8634,4.25739645,10629200,5241.22288
2,11,3,5026,1624,3402,0.323119777,7927,4.20530504,9934500,5270.291777
2,12,2,4930,1467,3463,0.297565923,7540,4.363425926,9268400,5363.657407
2,13,3,4995,1340,3655,0.268268268,7099,4.434103685,8698900,5433.416615
3,4,1,5019,4402,617,0.877067145,6440,1.381085138,5160500,1106.690971
3,5,2,4929,3982,947,0.807871779,12171,2.868489276,13067000,3079.660617
3,6,2,4966,3963,1003,0.798026581,11096,2.626893939,9528600,2255.823864
3,7,3,4993,3615,1378,0.724013619,13564,3.499484004,12637200,3260.371517
3,8,4,5025,3705,1320,0.737313433,13150,3.315683308,14827800,3738.729198
3,9,3,5151,3571,1580,0.693263444,14370,3.75,15362600,4009.029228
3,10,1,5007,3362,1645,0.671459956,8265,2.281258625,11238800,3102.070108
3,11,2,5033,3170,1863,0.629843036,10143,2.956280968,12168900,3546.750219
3,12,3,4991,2918,2073,0.584652374,11169,3.513368984,11832700,3722.145329
3,13,2,4973,2696,2277,0.542127488,9296,3.14372675,10696400,3617.314846
4,5,1,4954,3824,1130,0.771901494,7151,1.750550796,7304700,1788.176255
4,6,1,4911,4261,650,0.867644064,5289,1.169615215,4394500,971.8045113
4,7,2,4964,3662,1302,0.737711523,9125,2.326026001,7519000,1916.645424
4,8,3,4922,3334,1588,0.677366924,11936,3.320166898,11251900,3129.874826
4,9,2,5082,3272,1810,0.643841007,9799,2.773563544,10135400,2868.780074
4,10,2,4928,2918,2010,0.592126623,11785,3.70714061,11902900,3744.227745
4,11,4,4927,2705,2222,0.549015628,10341,3.486513823,10182900,3433.20971
4,12,5,5006,2594,2412,0.518178186,9790,3.429071804,9764300,3420.070053
4,13,4,4932,2304,2628,0.467153285,9230,3.598440546,8783100,3424.210526
5,6,2,4997,2585,2412,0.517310386,8772,3.082220661,8404400,2953.056922
5,7,3,5041,2557,2484,0.507240627,9384,3.330021292,9176000,3256.210078
5,8,2,4956,3872,1084,0.781275222,9932,2.403097024,9939100,2404.814904
5,9,1,4995,4166,829,0.834034034,5470,1.235599729,6247500,1411.226564
5,10,3,4969,3591,1378,0.72268062,12736,3.306334372,12543600,3256.386293
5,11,2,4965,3416,1549,0.688016113,9156,2.490073429,9350300,2542.91542
5,12,1,5062,3328,1734,0.657447649,7351,2.048202842,8719600,2429.534689
5,13,2,5042,3136,1906,0.621975407,8860,2.608183691,8842500,2603.032087
6,7,1,4991,3465,1526,0.694249649,4284,1.149758454,3278600,879.9248524
6,8,2,5065,1822,3243,0.359723593,5645,2.710033605,4804900,2306.721075
6,9,3,5162,1549,3613,0.300077489,6235,3.444751381,5949500,3287.016575
6,10,4,4905,1318,3587,0.268705403,6319,4.001899937,5599200,3546.041799
6,11,3,4956,1087,3869,0.219330105,4823,3.577893175,4081300,3027.670623
6,12,4,5072,975,4097,0.192231861,5222,4.224919094,4230800,3422.977346
6,13,3,4951,740,4211,0.149464755,3766,3.762237762,3320400,3317.082917
7,8,1,5046,1551,3495,0.307372176,3100,1.710816777,2863000,1580.022075
7,9,2,5051,1118,3933,0.221342308,3847,2.789702683,3815100,2766.569978
7,10,3,5035,1067,3968,0.211916584,4602,3.465361446,3777200,2844.277108
7,11,2,4973,875,4098,0.175950131,3222,2.836267606,2676200,2355.809859
7,12,3,5041,719,4322,0.14263043,3525,3.596938776,2604100,2657.244898
7,13,2,4952,523,4429,0.105613893,2345,2.991071429,1983100,2529.464286
8,9,1,5025,3594,1431,0.715223881,4386,1.137743191,4040800,1048.197147
8,10,2,5074,4650,424,0.916436736,9942,2.024434942,6451300,1313.642843
8,11,1,4996,4631,365,0.926941553,5319,1.087285364,2642100,540.0858545
8,12,2,4986,4579,407,0.91837144,9724,2.009090909,3975800,821.446281
8,13,1,4994,4575,419,0.916099319,5279,1.091604632,2673300,552.7915633
9,10,3,5000,3179,1821,0.6358,10823,3.14622093,8533700,2480.726744
9,11,2,4987,3072,1915,0.616001604,7364,2.209420942,5763200,1729.132913
9,12,3,5002,2834,2168,0.566573371,8548,2.76187399,6653800,2149.854604
9,13,2,5057,2683,2374,0.530551711,6597,2.240828804,5182900,1760.495924
10,11,1,5030,4668,362,0.928031809,5437,1.103063502,4114600,834.7737878
10,12,2,5001,4608,393,0.921415717,9749,2.002259191,5374600,1103.840624
10,13,1,4983,4561,422,0.915312061,5156,1.069265865,3969600,823.2268768
11,12,1,5050,4784,266,0.947326733,5112,1.013280476,1566200,310.4459861
11,13,2,4971,4705,266,0.94648964,9935,2.000604108,3505100,705.8195731
12,13,1,4997,4732,265,0.946968181,5041,1.009613459,1535900,307.6106549
