average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
342059,-35999.33333,12330735.33,1020710049,7913376.667,3969720.667,270.9619599,24.1675889,0,0,0,0,0,0,0,0,0.972252663,0,0.157832799,342059,341118.22,342999.78,940.7800455,270.9619599,270.6729775,271.2509423,0.288982396
334259.3333,-43799,12330735.33,580969692,1019424.667,519248,69.88084751,3.994025709,0.743752629,1360184,1828814,466761.3333,0,0,0,0,0.974371396,0,0.090917172,334259.3333,332511.7914,336006.9419,1747.54191,69.88084751,68.92278665,70.83890838,0.958060864
