average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
235669.6667,-37551.33333,10212384,118730822.7,614641,614641,92.48164983,2.812007912,0.720735778,659380.3333,914871,255403,0,0,0,0,0.982296972
229938.6667,-43282.33333,10212384,118612219,565153.3333,565153.3333,90.90859579,2.772681561,0.646547377,591508,914871,184075.3333,139198.6667,65469.33333,43629.33333,21840,0.976609824
227947.6667,-45273.33333,10212384,118557602.3,551494.3333,551494.3333,85.19505766,2.629843108,0.567536924,519223.3333,914871,158580.3333,236986.6667,111200,77523,33676,0.974730054
227379.3333,-45841.66667,10212384,118506976.7,545802.6667,545802.6667,80.05123741,2.501247602,0.506901741,463750,914871,144314.6667,306738.6667,144030,101779.3333,42250,0.97450294
227149.6667,-46071.33333,10212384,118451464.3,543103.3333,543103.3333,76.31345743,2.407803102,0.46456445,425017.3333,914871,135673.3333,354119,166511,118318,48192,0.974536432
226816.6667,-46404.33333,10212384,118400910.7,541158.6667,541158.6667,73.81689794,2.345389115,0.435555944,398478,914871,129155.6667,387183.3333,182271.3333,129504.6667,52765,0.974380629
226638,-46583,10212384,118344831.7,539695,539695,72.12165317,2.303007996,0.416075494,380655.6667,914871,124467.6667,409697.6667,193087.6667,137095,55989.33333,0.974332559
226475.6667,-46745.33333,10212384,118305446.3,538851,538851,71.01380656,2.275311831,0.403325074,368990.6667,914871,121381,424451.3333,200253.6667,142019.6667,58232,0.974350509
226350.6667,-46870.33333,10212384,118267977,538003,538003,70.30208621,2.257518822,0.394663108,361065.6667,914871,118987.6667,434772.6667,205282,145501.6667,59777.33333,0.974309191
226347.3333,-46873.66667,10212384,118240177.7,537180.6667,537180.6667,69.79023273,2.244722485,0.388740069,355646.6667,914871,117002.3333,442182.3333,208917.6667,147973.3333,60940.33333,0.974313038
226359,-46862,10212384,118213200.3,536775.6667,536775.6667,69.41867386,2.235433513,0.384331501,351613.3333,914871,115689.3333,447532.3333,211568.3333,149716.3333,61848.33333,0.974300448
226355.3333,-46865.66667,10212384,118189393,536278.3333,536278.3333,69.16555142,2.229105452,0.381394522,348926.3333,914871,114510.3333,451400,213510.3333,150977.3333,62530,0.974388149
226354.6667,-46866.33333,10212384,118171735,535875.3333,535875.3333,68.95540942,2.223851902,0.379127146,346852,914871,113578.3333,454403.6667,215010.6667,151948,63059,0.974462282
226354.6667,-46866.33333,10212384,118151833.3,535629,535629,68.84260862,2.221031882,0.377687146,345534.6667,914871,112927,456373.6667,216007,152539.3333,63464,0.974399805
226342.6667,-46878.33333,10212384,118136168,535539.6667,535539.6667,68.73904887,2.218442888,0.37653087,344477,914871,112540.6667,457817.6667,216744.6667,152980,63761,0.974421489
226342,-46879,10212384,118121018.3,535440.6667,535440.6667,68.65246712,2.216278345,0.375701506,343718.3333,914871,112149,458968,217340.3333,153283,64053.66667,0.974422368
226322,-46899,10212384,118111492,535298,535298,68.59518148,2.214846204,0.375114541,343181.3333,914871,111904.3333,459749.6667,217743.3333,153584,64155.66667,0.974490166
226305,-46916,10212384,118106604.7,535401.6667,535401.6667,68.53719267,2.213396483,0.374573132,342686,914871,111853,460296.3333,218022,153707.6667,64310.66667,0.974508948
226304.3333,-46916.66667,10212384,118102687.3,535328,535328,68.5216615,2.213008204,0.374429881,342555,914871,111716.3333,460564,218160.3333,153783,64373.66667,0.974507887
226301.6667,-46919.33333,10212384,118102225.3,535316.3333,535316.3333,68.51582476,2.212862286,0.374336581,342469.6667,914871,111715,460650.6667,218201,153834,64363.33333,0.974517792
226296,-46925,10212384,118102225.3,535316.3333,535316.3333,68.51582476,2.212862286,0.374336581,342469.6667,914871,111715,460650.6667,218201,153834,64363.33333,0.974517792
