average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
342493.3333333333,-36778.666666666664,12330735.333333334,1017147745.3333334,3956095.6666666665,3956095.6666666665,542.0942744808801,24.17485635099942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709385010242686
342114.0,-37158.0,12330735.333333334,1012975796.0,3934346.3333333335,3934346.3333333335,535.0465689094567,23.810255560285274,0.985892767211365,34225.0,34699.0,473.6666666666667,0.0,0.0,0.0,0.0,0.9702306750321585
341268.6666666667,-38003.333333333336,12330735.333333334,989941392.6666666,3839069.6666666665,3839069.6666666665,514.840053946513,22.771121274840223,0.9386279503645353,134604.33333333334,143083.0,8469.0,0.0,0.0,0.0,0.0,0.9688567330913394
339729.6666666667,-39542.333333333336,12330735.333333334,942748924.0,3627814.6666666665,3627814.6666666665,476.1903406300026,20.77857548910417,0.923407290232659,317635.0,343452.6666666667,25798.0,0.0,0.0,0.0,0.0,0.9665077285178633
337166.3333333333,-42105.666666666664,12330735.333333334,889968893.0,3344599.0,3344599.0,415.3593312051481,17.66650813843366,0.9147817869018214,582628.6666666666,636635.0,53960.0,0.0,0.0,0.0,0.0,0.9634172187631608
335760.6666666667,-43511.333333333336,12330735.333333334,873880982.6666666,3304053.6666666665,3304053.6666666665,391.811762310523,16.475981305202247,0.9126665085358607,663171.6666666666,726400.6666666666,63177.333333333336,0.0,0.0,0.0,0.0,0.9616730089086246
334891.3333333333,-44380.666666666664,12330735.333333334,840801494.0,3189065.6666666665,3189065.6666666665,358.2844032718738,14.767529904036145,0.9140879731380753,793122.6666666666,867675.3333333334,74496.33333333333,0.0,0.0,0.0,0.0,0.960991418217171
336329.6666666667,-42942.333333333336,12330735.333333334,780145777.0,2976500.6666666665,2976500.6666666665,302.6477742434291,11.947881562335036,0.9158717671285469,995789.3333333334,1087295.0,91217.0,0.0,0.0,0.0,0.0,0.9642172223441373
341030.6666666667,-38241.333333333336,12330735.333333334,580838806.3333334,517839.3333333333,517839.3333333333,139.80340342799394,3.9950684190331676,0.7445470077111054,1361636.6666666667,1828814.0,465352.6666666667,0.0,0.0,0.0,0.0,0.9731163931004777
