average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
272810.6667,-410.3333333,10212384,176808223.3,2987738.333,2987738.333,554.6089835,26.31760412,0,0,0,0,0,0,0,0,0.99975276
272807.3333,-413.6666667,10212384,176808592,2988016.333,2988016.333,554.5493358,26.31462296,0.896825397,9,10,1,0,0,0,0,0.999752967
272807.3333,-413.6666667,10212384,176808592,2988016.333,2988016.333,554.5493358,26.31462296,0.896825397,9,10,1,0,0,0,0,0.999752967
272806,-415,10212384,176805837.7,2987634.667,2987634.667,554.5185743,26.31298705,0.979063588,90.33333333,92.33333333,2,0,0,0,0,0.999753022
272804.3333,-416.6666667,10212384,176815070.3,2987902.333,2987902.333,554.3992483,26.30711023,0.978879312,260.3333333,266,5.666666667,0,0,0,0,0.999753676
272803,-418,10212384,176805459.3,2987875.333,2987875.333,554.2562199,26.29986879,0.980849237,505.3333333,515.3333333,10,0,0,0,0,0.999752867
272796,-425,10212384,176784212.7,2986878.667,2986878.667,554.1622468,26.294874,0.98605824,761,771.6666667,10.66666667,0,0,0,0,0.999753059
272774.6667,-446.3333333,10212384,176734724.7,2985971.333,2985971.333,554.0856198,26.29046319,0.987813067,1108.333333,1122,13.66666667,0,0,0,0,0.999753204
272768,-453,10212384,176716300.3,2984402.333,2984402.333,553.8933719,26.28048858,0.988870626,1632.666667,1651,18.33333333,0,0,0,0,0.999753344
272756.3333,-464.6666667,10212384,176642578,2979447.333,2979447.333,553.9312485,26.2812831,0.987472001,2340.666667,2371,30.33333333,0,0,0,0,0.999752751
272726,-495,10212384,176581409.7,2973753.333,2973753.333,553.9627233,26.2814454,0.980084864,3297.666667,3368,70.33333333,0,0,0,0,0.99975509
272714.6667,-506.3333333,10212384,176382399,2959112.333,2959112.333,553.3943926,26.29965303,0.975098579,4792.333333,4922.333333,130,0,0,0,0,0.999755579
272683.3333,-537.6666667,10212384,176167810,2942601.667,2942601.667,552.7436778,26.21326569,0.967833883,6733.666667,6962.333333,228.6666667,0,0,0,0,0.999755667
272640.6667,-580.3333333,10212384,175710072.7,2905634.667,2905634.667,552.2036275,26.17787894,0.967168582,9646,9977.333333,331.3333333,0,0,0,0,0.999756881
272528.3333,-692.6666667,10212384,174912262.3,2853641.667,2853641.667,551.7160952,26.14034267,0.972946034,14989,15408.66667,419.6666667,0,0,0,0,0.999759935
272376,-845,10212384,173591507.3,2767366.333,2767366.333,550.8258977,26.12363227,0.966237597,24229.33333,25092.66667,863.3333333,0,0,0,0,0.999760137
271961.3333,-1259.666667,10212384,170053776.7,2572449,2572449,548.1264112,26.08368659,0.971783067,46623,47999,1360,0,0,0,0,0.999745743
270545,-2676,10212384,164157076,2302808.667,2302808.667,543.6348978,25.86865492,0.970035432,88495.66667,91238,2729.666667,0,0,0,0,0.999609434
266307.3333,-6913.666667,10212384,150010728.3,1820602,1820602,534.2420905,24.89361505,0.94300656,224460,238019,13514.66667,0,0,0,0,0.998468723
257247.3333,-15973.66667,10212384,128902977.7,1227797.667,1227797.667,434.0139197,19.57511784,0.918301547,458652.6667,499453,40704.33333,0,0,0,0,0.993033705
235669.6667,-37551.33333,10212384,118730822.7,614641,614641,92.48164983,2.812007912,0.720735778,659380.3333,914871,255403,0,0,0,0,0.982296972
