average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
90502.33333,-812.6666667,10212384,119688574.7,1033089.333,1033089.333,86.27934249,2.656900229,0.263269118,240857,914871,673851.3333,0,0,0,0,0.999182919
90451.66667,-863.3333333,10212384,119575062.3,940849.3333,940849.3333,85.87589457,2.646814031,0.273638699,250344,914871,521831.3333,142538,66571.33333,6791.333333,59780,0.999177499
90386.66667,-928.3333333,10212384,119479374.7,889684.6667,889684.6667,84.96332065,2.618999683,0.25731676,235411.6667,914871,432083.6667,247224.3333,114802.6667,16439.66667,98363,0.999174795
90323.33333,-991.6666667,10212384,119392603.7,859683.3333,859683.3333,83.85708961,2.591343907,0.23383985,213933.3333,914871,375272,325521,151153.6667,25979.33333,125173.3333,0.999162894
90284,-1031,10212384,119313398,840925,840925,82.14238884,2.553476388,0.213361051,195198,914871,338310.6667,381223,177248.6667,33871.66667,143376.3333,0.999162922
90263.66667,-1051.333333,10212384,119239941,828251.3333,828251.3333,78.47723189,2.461847464,0.197926814,181077.6667,914871,312752,420918.3333,196042.6667,39778,156261.3333,0.999157308
90244.66667,-1070.333333,10212384,119177060.3,819500,819500,75.94268574,2.39848381,0.187078178,171152.6667,914871,294994,448607.6667,209306.6667,44033.66667,165268,0.999151932
90229.33333,-1085.666667,10212384,119121842.3,813167.6667,813167.6667,74.26667291,2.356583489,0.179565286,164279.3333,914871,282186.3333,468293.3333,218808.6667,47059.33333,171743.3333,0.999151187
90229,-1086,10212384,119077115.7,808543,808543,73.21079301,2.330186492,0.17475677,159880,914871,273056.6667,481833.6667,225391.6667,49135.33333,176248.3333,0.999151716
90229,-1086,10212384,119041234,805304.3333,805304.3333,72.48027001,2.311923417,0.171255609,156676.6667,914871,266530.3333,491569.3333,230179.6667,50636,179536,0.999152223
90228.66667,-1086.333333,10212384,119013639,802762.6667,802762.6667,72.04406324,2.301018248,0.169094749,154699.6667,914871,261535.6667,498551.6667,233634.6667,51637.33333,181989,0.999150288
90228.66667,-1086.333333,10212384,118989695,800846.3333,800846.3333,71.74284837,2.293487876,0.167664835,153391.3333,914871,257649,503747.3333,236240.3333,52273,183959.3333,0.999148039
90228.66667,-1086.333333,10212384,118972471.3,799384,799384,71.58875219,2.289635471,0.166791151,152592,914871,254801.3333,507394.3333,238065,52713,185344.6667,0.999149732
90228.66667,-1086.333333,10212384,118961860.7,798323.3333,798323.3333,71.50166994,2.287458415,0.166283688,152127.6667,914871,252672.3333,509987.6667,239388,52967.66667,186413,0.999150225
90228.33333,-1086.666667,10212384,118956212.7,797533.6667,797533.6667,71.42573225,2.285559973,0.165905392,151781.6667,914871,251089.6667,511916.3333,240369,53155.66667,187206,0.999148827
90227.33333,-1087.666667,10212384,118952569,796906.6667,796906.6667,71.39647958,2.284828656,0.165732687,151623.6667,914871,249812.6667,513351.3333,241119,53255.66667,187856,0.999150462
90227.66667,-1087.333333,10212384,118949511.7,796457.3333,796457.3333,71.36202121,2.283967197,0.165539241,151446.6667,914871,248897.3333,514443.6667,241678.3333,53349,188322,0.999150962
90227.33333,-1087.666667,10212384,118947511.7,796181.6667,796181.6667,71.33204846,2.283217878,0.16539934,151318.6667,914871,248322,515147,242041.6667,53412.66667,188621.6667,0.999149937
90227,-1088,10212384,118946112.3,796008.6667,796008.6667,71.31838695,2.28287634,0.165328649,151254,914871,247959.6667,515574,242260,53441.66667,188811,0.999149681
90225.33333,-1089.666667,10212384,118945680.7,795969.6667,795969.6667,71.30727197,2.282598466,0.165292571,151221,914871,247866.3333,515700.3333,242326,53453.33333,188865.3333,0.999149581
90223.33333,-1091.666667,10212384,118945680.7,795969.6667,795969.6667,71.30727197,2.282598466,0.165292571,151221,914871,247866.3333,515700.3333,242326,53453.33333,188865.3333,0.999149581
