average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys
4164.4,-75.6,223048.8,3589186.4,85242.2,85242.2,797.1503468274367,0.0,0.0,0.0
4163.2,-76.8,223048.8,3590343.8,85317.2,85317.2,795.0433761157888,0.8715850815850816,0.8715850815850816,0.8715850815850816
4162.6,-77.4,223048.8,3590697.8,85286.6,85286.6,795.12539872378,0.8800249859073388,0.8800249859073388,0.8800249859073388
4161.6,-78.4,223048.8,3581447.0,84991.6,84991.6,792.0564338111184,0.9344727128641128,0.9344727128641128,0.9344727128641128
4160.8,-79.2,223048.8,3568698.8,84498.0,84498.0,786.9306944632217,0.9470920922141994,0.9470920922141994,0.9470920922141994
4156.8,-83.2,223048.8,3559763.0,84152.4,84152.4,778.3231882757426,0.9478157647737045,0.9478157647737045,0.9478157647737045
4152.6,-87.4,223048.8,3543213.4,83461.0,83461.0,770.380227877576,0.9573048508953429,0.9573048508953429,0.9573048508953429
4144.4,-95.6,223048.8,3523218.6,83035.2,83035.2,760.0295116839491,0.9508336062540161,0.9508336062540161,0.9508336062540161
4136.2,-103.8,223048.8,3498310.8,82159.8,82159.8,746.33338343053,0.9338607581220559,0.9338607581220559,0.9338607581220559
4140.0,-100.0,223048.8,3447120.6,80873.6,80873.6,731.5813872613003,0.9152613466060284,0.9152613466060284,0.9152613466060284
4136.0,-104.0,223048.8,3415414.4,80281.6,80281.6,708.5895113226162,0.9040695709914088,0.9040695709914088,0.9040695709914088
4138.8,-101.2,223048.8,3357449.0,78715.8,78715.8,688.8884857421782,0.8528984689545123,0.8528984689545123,0.8528984689545123
4141.8,-98.2,223048.8,3295712.6,76785.2,76785.2,679.71961719236,0.822231805076129,0.822231805076129,0.822231805076129
4146.0,-94.0,223048.8,3239839.8,74914.6,74914.6,653.9456186286827,0.8143504279766483,0.8143504279766483,0.8143504279766483
4144.0,-96.0,223048.8,3176541.6,71569.8,71569.8,648.664415509525,0.7948443956564317,0.7948443956564317,0.7948443956564317
4144.2,-95.8,223048.8,3126391.4,69423.0,69423.0,636.0984870140924,0.7826610835540843,0.7826610835540843,0.7826610835540843
4139.6,-100.4,223048.8,3049993.0,66107.4,66107.4,609.9430832322206,0.7746819226313041,0.7746819226313041,0.7746819226313041
4136.2,-103.8,223048.8,2955483.0,61796.6,61796.6,578.70618682895,0.7556313628979727,0.7556313628979727,0.7556313628979727
4119.0,-121.0,223048.8,2784567.8,53769.4,53769.4,521.7886905567885,0.7659671160233938,0.7659671160233938,0.7659671160233938
4088.0,-152.0,223048.8,2459397.2,42031.4,42031.4,379.73185408829227,0.7598074470338563,0.7598074470338563,0.7598074470338563
3993.4,-246.6,223048.8,2110357.4,11512.8,11512.8,112.1025097652605,0.5929820007468163,0.5929820007468163,0.5929820007468163
