average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys
4844.6,-604.4,223031.8,2027221.4,8674.6,8674.6,86.75280111573721,0.736044437465116,0.736044437465116,0.736044437465116
4726.8,-722.2,223031.8,2021559.6,7660.4,7660.4,84.98974239342552,0.5958389099380557,0.5958389099380557,0.5958389099380557
4614.2,-834.8,223031.8,2013689.0,7057.8,7057.8,82.20739651185812,0.48469540018897794,0.48469540018897794,0.48469540018897794
4550.4,-898.6,223031.8,2009012.8,6777.4,6777.4,77.35455684852144,0.38911764513882446,0.38911764513882446,0.38911764513882446
4541.4,-907.6,223031.8,2005509.2,6563.6,6563.6,73.67336021711954,0.33246248569043585,0.33246248569043585,0.33246248569043585
4559.0,-890.0,223031.8,2003037.8,6448.4,6448.4,70.23093696774609,0.29324794058108344,0.29324794058108344,0.29324794058108344
4566.0,-883.0,223031.8,2001380.2,6410.0,6410.0,68.08906326907616,0.2709143008665319,0.2709143008665319,0.2709143008665319
4571.0,-878.0,223031.8,2000199.0,6377.0,6377.0,66.61463706498932,0.2540602913617841,0.2540602913617841,0.2540602913617841
4578.6,-870.4,223031.8,1998761.4,6351.2,6351.2,65.21304570309974,0.2408568079227952,0.2408568079227952,0.2408568079227952
4593.4,-855.6,223031.8,1997968.8,6326.2,6326.2,64.30443005125534,0.2324599192715231,0.2324599192715231,0.2324599192715231
4587.6,-861.4,223031.8,1997720.6,6364.0,6364.0,63.53768661466944,0.2263957580257383,0.2263957580257383,0.2263957580257383
4586.0,-863.0,223031.8,1996960.8,6360.8,6360.8,63.21797929751625,0.22218632131497662,0.22218632131497662,0.22218632131497662
4586.2,-862.8,223031.8,1996551.6,6363.8,6363.8,62.879060574004235,0.21874055583275515,0.21874055583275515,0.21874055583275515
4586.8,-862.2,223031.8,1996491.0,6366.6,6366.6,62.59390516657884,0.21679996501993143,0.21679996501993143,0.21679996501993143
4583.2,-865.8,223031.8,1996129.0,6382.0,6382.0,62.56368585676088,0.2162381270581056,0.2162381270581056,0.2162381270581056
4581.6,-867.4,223031.8,1995919.4,6382.2,6382.2,62.506920962930316,0.2151309762785257,0.2151309762785257,0.2151309762785257
4583.4,-865.6,223031.8,1995875.8,6379.6,6379.6,62.45386090093261,0.21476484699256515,0.21476484699256515,0.21476484699256515
4582.6,-866.4,223031.8,1995943.2,6381.6,6381.6,62.47328001638273,0.21507834764654846,0.21507834764654846,0.21507834764654846
4584.0,-865.0,223031.8,1995950.2,6378.6,6378.6,62.45527798033685,0.21515275644847223,0.21515275644847223,0.21515275644847223
4584.0,-865.0,223031.8,1995951.8,6379.8,6379.8,62.440484812634985,0.21514778772133508,0.21514778772133508,0.21514778772133508
4584.0,-865.0,223031.8,1995951.8,6379.8,6379.8,62.440484812634985,0.21514778772133508,0.21514778772133508,0.21514778772133508
