average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys
31735.0,-13484.0,1116479.2666666666,15139882.2,106760.73333333334,106760.73333333334,658.2482480713035,31.298663150601246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31734.733333333334,-13484.266666666666,1116479.2666666666,15140643.533333333,106780.66666666667,106780.66666666667,657.9037729927531,31.281478138886044,0.992982456140351,11.666666666666666,11.8,0.13333333333333333,0.0,0.0,0.0,0.0
31732.466666666667,-13486.533333333333,1116479.2666666666,15139393.266666668,106761.4,106761.4,657.9488200944047,31.2833980391972,0.9855077086656034,20.333333333333332,20.733333333333334,0.4,0.0,0.0,0.0,0.0
31733.066666666666,-13485.933333333332,1116479.2666666666,15134598.0,106671.06666666667,106671.06666666667,657.0834995244464,31.239585556493644,0.9928633586246279,133.53333333333333,134.6,1.0666666666666667,0.0,0.0,0.0,0.0
31727.133333333335,-13491.866666666667,1116479.2666666666,15128755.133333333,106625.4,106625.4,655.9387143360495,31.18174887428269,0.9920084513800833,314.46666666666664,317.06666666666666,2.6,0.0,0.0,0.0,0.0
31717.866666666665,-13501.133333333333,1116479.2666666666,15120856.266666668,106456.46666666666,106456.46666666666,654.4320699688911,31.1049704503341,0.9945960779817539,572.1333333333333,575.2,3.066666666666667,0.0,0.0,0.0,0.0
31719.6,-13499.4,1116479.2666666666,15115661.4,106402.93333333333,106402.93333333333,652.3518689723973,31.00115662538656,0.9956337612344953,882.0,885.8666666666667,3.8666666666666667,0.0,0.0,0.0,0.0
31715.4,-13503.6,1116479.2666666666,15102024.0,106344.6,106344.6,650.0527742251229,30.885276982223953,0.9961563196133664,1300.7333333333333,1305.8,5.066666666666666,0.0,0.0,0.0,0.0
31701.733333333334,-13517.266666666666,1116479.2666666666,15098212.533333333,106275.53333333334,106275.53333333334,647.8822764986377,30.775038034531825,0.9968139709948698,1714.8666666666666,1720.3333333333333,5.466666666666667,0.0,0.0,0.0,0.0
31692.4,-13526.6,1116479.2666666666,15077440.466666667,105843.26666666666,105843.26666666666,644.9934580234196,30.628507568941572,0.9969785201617277,2274.3333333333335,2281.2,6.866666666666666,0.0,0.0,0.0,0.0
31675.466666666667,-13543.533333333333,1116479.2666666666,15054780.933333334,105531.2,105531.2,641.6723791491573,30.459569438944026,0.9977360774639402,2949.5333333333333,2956.266666666667,6.733333333333333,0.0,0.0,0.0,0.0
31648.4,-13570.6,1116479.2666666666,15040422.8,105376.66666666667,105376.66666666667,638.1722905222143,30.281858774391935,0.9966461632071144,3682.0,3694.2,10.8,0.0,0.0,0.0,0.0
31637.666666666668,-13581.333333333334,1116479.2666666666,15014560.266666668,104931.53333333334,104931.53333333334,633.8282913537994,30.06208793639485,0.9965373390191966,4536.466666666666,4552.333333333333,14.533333333333333,0.0,0.0,0.0,0.0
31590.866666666665,-13628.133333333333,1116479.2666666666,14965424.666666666,104426.2,104426.2,628.7199195865876,29.800648465148743,0.9952822197003894,5826.066666666667,5854.133333333333,26.2,0.0,0.0,0.0,0.0
31548.066666666666,-13670.933333333332,1116479.2666666666,14934388.6,103815.26666666666,103815.26666666666,622.436028650351,29.48123484909751,0.9930672234978919,7171.8,7222.6,48.86666666666667,0.0,0.0,0.0,0.0
31464.8,-13754.2,1116479.2666666666,14787537.933333334,101944.66666666667,101944.66666666667,611.3225697517054,28.91100568284999,0.9877083728803817,10418.466666666667,10551.533333333333,127.73333333333333,0.0,0.0,0.0,0.0
