source,target,delays
0,1,26.471910112359552
0,2,29.0808848109819
0,3,86.58002866698519
0,4,106.12195229099855
0,5,87.63565323565324
0,6,90.23602598151851
0,7,62.4512010864952
0,8,108.41216912084492
0,9,125.14834743800262
0,10,136.65231535304582
0,11,138.27752552525385
0,12,145.0738108984323
0,13,145.8384694794525
1,2,22.668931463719428
1,3,51.274417663718864
1,4,93.04881073982197
1,5,80.39447272018143
1,6,122.36589368995251
1,7,104.41353272984104
1,8,145.38211374133408
1,9,127.66343385947748
1,10,119.24135393051684
1,11,137.49438743405958
1,12,139.6745720771493
1,13,145.94598054615312
2,3,96.4580132657932
2,4,103.30040531097134
2,5,76.967623087411
2,6,121.4019375920692
2,7,98.91958375321114
2,8,136.56613874361733
2,9,120.87862288951219
2,10,147.97672915319976
2,11,151.3660477453581
2,12,155.98755057578586
2,13,159.45733767884798
3,4,37.33945193023878
3,5,93.60878048780488
3,6,88.07055709038
3,7,121.44029334440293
3,8,114.01514075065295
3,9,129.86701298701297
3,10,65.66344781156853
3,11,99.96310497535828
3,12,121.74966741918577
3,13,105.78457904983986
4,5,44.73469390033206
4,6,32.411055367767695
4,7,75.33444890999878
4,8,112.26839698115346
4,9,92.569389843263
4,10,132.76692252875904
4,11,118.65318835672653
4,12,117.23273638685296
4,13,120.22295552367287
5,6,113.17104008622475
5,7,113.9887609456888
5,8,75.83836957045155
5,9,32.44546989858078
5,10,113.17193634955512
5,11,79.0203283191756
5,12,66.55085630743525
5,13,84.81393060368802
6,7,24.57417498335125
6,8,86.78176725235548
6,9,110.88883945124212
6,10,143.18962962962962
6,11,124.62148337595909
6,12,143.58383838383838
6,13,120.32969187675072
7,8,34.958730158730155
7,9,87.14689754689755
7,10,108.3268879268879
7,11,79.26919485743016
7,12,110.65400131344404
7,13,79.18730158730159
8,9,26.98851781130262
8,10,63.944982407278516
8,11,27.847486300082416
8,12,60.96916533758639
8,13,23.38336683988961
9,10,110.32322770817981
9,11,74.98317859942335
9,12,87.84085561497326
9,13,71.32294293501431
10,11,23.70925733305596
10,12,60.533333333333324
10,13,25.926144393241167
11,12,20.0
11,13,60.0
12,13,22.135658914728683
