source,target,delays
0,1,21.707865168539325
0,2,22.15169102741918
0,3,36.44495407973669
0,4,57.438284350334605
0,5,42.89756652726853
0,6,42.008011613887454
0,7,35.63919353759388
0,8,50.92143045087558
0,9,68.066202331288
0,10,73.15740948273613
0,11,86.53995336707715
0,12,86.94351740668259
0,13,93.57233641063428
1,2,21.83348588863463
1,3,42.842374429223746
1,4,48.90020575213736
1,5,52.14183496487051
1,6,71.44589753712145
1,7,59.30414874980092
1,8,83.60307205129293
1,9,83.32721471143591
1,10,78.8863523573201
1,11,93.7254275778866
1,12,94.33896568292595
1,13,104.00250684546693
2,3,48.04844984730703
2,4,57.58488551912451
2,5,56.212326160152244
2,6,71.12043726780568
2,7,59.831117901706136
2,8,83.10829228243021
2,9,72.78181818181818
2,10,88.3569487983281
2,11,98.44784688995216
2,12,93.70343249427917
2,13,104.8562091503268
3,4,38.775944365418056
3,5,55.82306176399904
3,6,51.532793523136846
3,7,75.8962219259027
3,8,69.33456616193757
3,9,81.28175387674129
3,10,45.06590178930605
3,11,63.09071618037135
3,12,76.7185770750988
3,13,62.12798499857323
4,5,45.544292950760926
4,6,32.146441862231335
4,7,44.52927917010892
4,8,66.99058417217893
4,9,59.16991944077246
4,10,71.04365308876588
4,11,72.55056811719419
4,12,73.21228501228501
4,13,76.99615445733355
5,6,54.37220012284879
5,7,73.64653325493535
5,8,49.27736398425693
5,9,38.04401408450704
5,10,70.15563154590808
5,11,49.97152064802174
5,12,46.808932676518886
5,13,48.523401127174715
6,7,31.907910927638632
6,8,45.031570031570034
6,9,69.4751691140076
6,10,86.77860254500987
6,11,82.09307359307358
6,12,98.21818181818182
6,13,74.24545454545454
7,8,42.584992784992785
7,9,46.27979134371694
7,10,73.23840848806365
7,11,72.17456461666987
7,12,70.71948837611271
7,13,52.16498589130168
8,9,38.33581162778287
8,10,42.26870500412279
8,11,52.656505790453345
8,12,40.251478880722
8,13,24.194256959787243
9,10,67.51830257029498
9,11,56.7080561714708
9,12,49.880068893430504
9,13,36.066917464660285
10,11,37.24308178606529
10,12,29.60474826914028
10,13,23.09052376801595
11,12,24.780375471099994
11,13,40.69787085372443
12,13,20.886215538847118
