threshold_n,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
0,303653.4,-151447,10212903.8,530550591.2,533341.4,132709,86.24111948,2.656027987,0.916044459,856994.8,935538.6,78232.6,0,0,0,0,0.893882805,0,0.170009362,303653.4,302813.373,304493.427,840.0270367,86.24111948,86.03711438,86.44512457,0.204005091
20,297281.4,-157819,10212903.8,528120883,399121.2,98406.8,72.3675032,2.30918758,0.589034171,551064,935538.6,35697,348585.2,163578,155338.6,8233.4,0.879654013,0,0.16925609,297281.4,296405.0752,298157.7248,876.324808,72.3675032,70.69974609,74.03526031,1.667757111
40,289620.4,-165480,10212903.8,526798810.8,349145.6,92141,65.66391653,2.141597913,0.48910892,457580.4,935538.6,27124,450688.8,211732.8,201185.6,10540.6,0.884511035,0,0.168842314,289620.4,288731.8922,290508.9078,888.50781,65.66391653,65.06434418,66.26348888,0.59957235
60,285539.2,-169561.2,10212903.8,526311501.8,334359.2,90290.6,63.66719926,2.091679982,0.459223141,429621,935538.6,24512.8,481283.4,226585.4,215277.4,11301.4,0.886044553,0,0.168689654,285539.2,284219.1233,286859.2767,1320.076702,63.66719926,63.24601645,64.08838208,0.421182814
80,284885.4,-170215,10212903.8,526172451.6,331065.4,89872.8,63.20282138,2.080070534,0.452590998,423416.2,935538.6,23851.8,488171.6,230087,218534.6,11544.6,0.886633676,0,0.168646059,284885.4,283427.9452,286342.8548,1457.454813,63.20282138,62.83452208,63.57112068,0.3682993
85,283899.4,-171201,10212903.8,526176648.6,330728.6,89919.2,63.15862477,2.078965619,0.451988419,422852.4,935538.6,23835.2,488751.2,230391,218775.6,11607.6,0.886555648,0,0.168647364,283899.4,282453.1797,285345.6203,1446.220273,63.15862477,62.79681232,63.52043722,0.361812449
90,282928.2,-172172.2,10212903.8,526172897,330518.8,89848,63.13324412,2.078331103,0.451577913,422468.4,935538.6,23707.4,489264.4,230650.2,218978.6,11664.2,0.886652553,0,0.168646207,282928.2,281497.2978,284359.1022,1430.902179,63.13324412,62.78242522,63.48406301,0.350818893
95,281954.4,-173146,10212903.8,526171477.8,330384.6,89891.8,63.12971308,2.078242827,0.451405234,422306.8,935538.6,23721,489411,230734.4,219032.2,11694.4,0.886722657,0,0.168645747,281954.4,280476.5302,283432.2698,1477.869834,63.12971308,62.75671835,63.5027078,0.372994723
100,280912.2,-174188.2,10212903.8,526169692.8,330505.8,89790.8,63.11051745,2.077762936,0.451455239,422353.6,935538.6,23648.8,489437.8,230737.8,219064.4,11665.6,0.886643091,0,0.168645217,280912.2,279534.9779,282289.4221,1377.222116,63.11051745,62.72225662,63.49877828,0.388260833
