threshold_n,average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage,provision_mean,provision_ci_min,provision_ci_max,provision_ci_half,delay_mean,delay_ci_min,delay_ci_max,delay_ci_half
0,258997.2,-14115.8,10212903.8,538966062.6,385798.8,334414.2,77.46595938,2.436628985,0.699915565,654796,935538.6,279937.8,0,0,0,0,0.999433928,0,0.172592307,258997.2,258170.0423,259824.3577,827.1576572,77.46595938,76.90915052,78.02276824,0.556808858
20,257788,-15325,10212903.8,534987689.4,334544.8,208843,72.46626402,2.311636601,0.497204467,465152,935538.6,117750.2,352202.8,163031.2,126400.8,36616.4,0.995694475,0,0.171380734,257788,257160.4786,258415.5214,627.521433,72.46626402,70.88055117,74.05197687,1.585712847
40,257790,-15323,10212903.8,532654805.6,284931.8,188087.4,64.71239881,2.11778997,0.390958519,365755.2,935538.6,87014.4,482495.6,223322.6,176703.6,46596.6,0.995934391,0,0.17065365,257790,257171.6557,258408.3443,618.3443078,64.71239881,63.98455681,65.44024081,0.727842001
60,257799.6,-15313.4,10212903.8,530662210.4,268666.6,172360.8,62.18837349,2.054689337,0.348740775,326260.4,935538.6,65853.6,543155.8,252153.6,200101,52030.8,0.9959882,0,0.170031993,257799.6,257126.4998,258472.7002,673.1002012,62.18837349,61.46131097,62.91543601,0.72706252
80,257787,-15326,10212903.8,529696439,267695.6,164868.2,62.02024266,2.050486067,0.340805927,318836.6,935538.6,55659.4,560834.4,261371,206614.8,54732.4,0.995990572,0,0.169730648,257787,257147.0737,258426.9263,639.9263287,62.02024266,61.53257708,62.50790824,0.487665579
85,257755.8,-15357.2,10212903.8,529632180,267793,164247.2,62.02554836,2.050618709,0.340578261,318623.6,935538.6,54801,561902.4,261949.4,206956.4,54969.8,0.996022094,0,0.169710636,257755.8,257094.6035,258416.9965,661.1965136,62.02554836,61.64682189,62.40427484,0.378726474
90,257694.8,-15418.2,10212903.8,529615496,267694,163908.2,62.02822049,2.050685512,0.340148329,318221.6,935538.6,54267.8,562838.6,262458.6,207272,55164,0.996027423,0,0.169705496,257694.8,256912.452,258477.148,782.3480398,62.02822049,61.71903588,62.33740509,0.309184603
95,257527,-15586,10212903.8,529605043.6,267771.2,163777.4,62.01642465,2.050390616,0.340222348,318291,935538.6,54027.4,563003,262567.6,207270.2,55273.6,0.996034891,0,0.16970225,257527,256887.5876,258166.4124,639.4123541,62.01642465,61.74634334,62.28650596,0.270081313
100,257008,-16105,10212903.8,529598932.8,267799.6,163636,62.0098093,2.050225232,0.340194394,318264.8,935538.6,53868,563189.4,262638,207322.8,55291.6,0.996037154,0,0.169700373,257008,256347.489,257668.511,660.5109804,62.0098093,61.70048543,62.31913316,0.309323866
