average_provision,average_provision_min,average_provision_max,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_delay_min,average_delay_max,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness,average_overflow_keys,average_key_pool_usage
342493.3333,335643.4666,349343.2,-36778.66667,12330735.33,1017147745,3956095.667,3956095.667,542.0942745,539.3838031,544.8047459,24.17485635,0,0,0,0,0,0,0,0,0.970938501,0,0.4093381
342114,335271.72,348956.28,-37158,12330735.33,1012975796,3934346.333,3934346.333,535.0465689,532.3713361,537.7218017,23.81025556,0.985892767,34225,34699,473.6666667,0,0,0,0,0.970230675,0,0.411965832
341268.6667,334443.2934,348094.04,-38003.33333,12330735.33,989941392.7,3839069.667,3839069.667,514.8400539,512.2658536,517.4142542,22.77112127,0.93862795,134604.3333,143083,8469,0,0,0,0,0.968856733,0,0.412683856
339729.6667,332935.0734,346524.26,-39542.33333,12330735.33,942748924,3627814.667,3627814.667,476.1903406,473.8093889,478.5712923,20.77857549,0.92340729,317635,343452.6667,25798,0,0,0,0,0.966507729,0,0.4098165
337166.3333,330423.0066,343909.66,-42105.66667,12330735.33,889968893,3344599,3344599,415.3593312,413.2825345,417.4361279,17.66650814,0.914781787,582628.6667,636635,53960,0,0,0,0,0.963417219,0,0.408511482
335760.6667,329045.4534,342475.88,-43511.33333,12330735.33,873880982.7,3304053.667,3304053.667,391.8117623,389.8527035,393.7708211,16.47598131,0.912666509,663171.6667,726400.6667,63177.33333,0,0,0,0,0.961673009,0,0.408016513
334891.3333,328193.5066,341589.16,-44380.66667,12330735.33,840801494,3189065.667,3189065.667,358.2844033,356.4929813,360.0758253,14.7675299,0.914087973,793122.6667,867675.3333,74496.33333,0,0,0,0,0.960991418,0,0.4088516
333329.6667,326663.0734,339996.26,-45942.33333,12330735.33,780145777,2976500.667,2976500.667,302.6477742,301.1345353,304.1610131,11.94788156,0.915871767,995789.3333,1087295,91217,0,0,0,0,0.960217222,0,0.408561864
331030.6667,324410.0534,337651.28,-48241.33333,12330735.33,580838806.3,517839.3333,517839.3333,139.8034034,139.1043864,140.5024204,3.995068419,0.744547008,1361636.667,1828814,465352.6667,0,0,0,0,0.958116393,0,0.407956431
